label,text
toxic,"Wow, another brilliant idea from the guy who can't even spell 'brilliant.'"
toxic,"Nobody asked for your opinion, so maybe just sit this one out."
toxic,"You're honestly the reason this team is failing."
toxic,"Cool story, did you come up with that all by yourself or did someone smarter help you?"
toxic,"Get lost, nobody wants you here."
toxic,"This is the dumbest take I've read all week, and that's saying something."
toxic,"Oh great, you again. Just what nobody needed."
toxic,"You clearly have no idea what you're talking about, so please stop embarrassing yourself."
toxic,"I can't believe they still let you post here."
toxic,"Must be nice living in a world where you think your opinion matters."
toxic,"You're pathetic and everyone in this chat knows it."
toxic,"Do us all a favor and just stop talking."
toxic,"Wow, real mature. Guess we know who never grew up."
toxic,"If I wanted your input I would've asked, which I didn't."
toxic,"You're an embarrassment to this entire project."
toxic,"Congrats on being the worst player I've ever had to carry."
toxic,"Maybe if you actually tried you wouldn't be this useless."
toxic,"Sure, keep talking, everyone loves being lectured by an idiot."
toxic,"Honestly just quit, you're dragging everyone down."
toxic,"Not surprised you failed again, that's kind of your thing."
toxic,"You're a joke and everyone here just tolerates you out of pity."
toxic,"Wow, did your parents also give up on you this fast?"
toxic,"Save your excuses, nobody's buying it."
toxic,"You really thought that was a good idea? Yikes."
toxic,"Everyone's laughing at you behind your back, just so you know."
toxic,"I've seen toddlers argue better than you just did."
toxic,"Go cry about it somewhere else, nobody cares."
toxic,"You add nothing of value to any conversation you're in."
toxic,"Typical. Can't do anything right, can you?"
toxic,"Oh look, the resident know-it-all is wrong again."
toxic,"Honestly, how are you even employed here."
toxic,"You're the definition of dead weight on this team."
toxic,"Keep whining, it's very attractive, said no one ever."
toxic,"I guess logic just isn't your strong suit, huh."
toxic,"You should be embarrassed to even show your face after that."
toxic,"Nice job proving once again that you shouldn't be trusted with anything."
toxic,"This is why nobody invites you to anything."
toxic,"Wow, you really are as clueless as everyone says."
toxic,"Take the hint, nobody wants you in this group anymore."
toxic,"You're an absolute waste of everyone's time."
toxic,"Sure, blame everyone else, that's real convenient for someone who never admits fault."
toxic,"I bet you feel real proud of that garbage post."
toxic,"Just stop. You're only making things worse by opening your mouth."
toxic,"You clearly peaked in high school and it shows."
toxic,"Another day, another reminder of why nobody respects you."
toxic,"You're not even worth arguing with, honestly."
toxic,"Delete your account, do the internet a favor."
toxic,"Wow, must be exhausting being wrong this often."
toxic,"You're a burden to everyone who has to work with you."
toxic,"Nice try, but stupidity isn't really something you can fake your way out of."
toxic,"I'd explain it to you again but I don't think you'd understand."
non_toxic,"Thanks for putting this together, it really helped clarify things."
non_toxic,"I disagree with your point, but I see where you're coming from."
non_toxic,"Great presentation today, the visuals really tied it together."
non_toxic,"Let me know if you need a hand finishing this up."
non_toxic,"That's an interesting perspective, can you say more about it?"
non_toxic,"I think we should double check the numbers before we submit this."
non_toxic,"Happy to help however I can, just let me know what you need."
non_toxic,"This recipe turned out great, thanks for sharing it!"
non_toxic,"I appreciate you taking the time to explain that to me."
non_toxic,"Let's regroup tomorrow and figure out next steps."
non_toxic,"Good game, that last round was really close."
non_toxic,"I think there might be a small bug in this function, mind taking a look?"
non_toxic,"Really enjoyed the movie, the ending caught me off guard."
non_toxic,"Could you send over the file when you get a chance?"
non_toxic,"Nice work on the report, it was clear and well organized."
non_toxic,"I'm not sure I agree, but that's a fair point to raise."
non_toxic,"Thanks for being patient while I figured that out."
non_toxic,"Looking forward to catching up this weekend."
non_toxic,"The weather's been really nice lately, perfect for a walk."
non_toxic,"I think we make a pretty good team on these projects."
non_toxic,"Sorry for the late reply, things have been busy this week."
non_toxic,"That's a solid plan, let's move forward with it."
non_toxic,"I learned a lot from this conversation, thank you."
non_toxic,"Can we push the meeting back an hour? Something came up."
non_toxic,"Congrats on the promotion, you've earned it!"
non_toxic,"I'll take a look and get back to you by end of day."
non_toxic,"This dataset looks clean, nice job prepping it."
non_toxic,"I'm still learning this topic, so bear with me if I ask basic questions."
non_toxic,"The customer service team was really helpful today."
non_toxic,"Let's split the tasks so we finish faster."
non_toxic,"That joke actually made me laugh out loud."
non_toxic,"I appreciate the honest feedback, it'll help me improve."
non_toxic,"We should celebrate finishing this milestone."
non_toxic,"Sure, I can cover your shift on Friday."
non_toxic,"Thanks for waiting, I know that took longer than expected."
non_toxic,"I think the design looks great, maybe just tweak the color a bit."
non_toxic,"It was nice meeting you at the conference yesterday."
non_toxic,"Let's schedule some time to walk through the details together."
non_toxic,"I really admire how you handled that difficult situation."
non_toxic,"The trip was amazing, I'll send you some photos later."
non_toxic,"Appreciate you stepping in to help when things got busy."
non_toxic,"That's a fair criticism, I'll work on it."
non_toxic,"Thanks again for the birthday wishes, it meant a lot."
non_toxic,"I think this approach makes sense, let's try it out."
non_toxic,"Good luck on your exam tomorrow, you've got this."
non_toxic,"The new update fixed most of the issues I was seeing."
non_toxic,"Let me know if the schedule works for you."
non_toxic,"I really enjoyed working on this project with you all."
non_toxic,"Thanks for the quick turnaround on this."
non_toxic,"Let's keep the discussion constructive and focus on solutions."
non_toxic,"I appreciate you hearing me out, even though we disagree."
